subject,subject_alias,experiment,original_experiment,session,original_session,error
BW024,,pyFR,,1,,No found EEG sync log
BW024,,pyFR,,2,,No found EEG sync log
FR080,,pyFR,,1,,No found EEG sync log
BW025,,pyFR,,1,,No found EEG sync log
BW025,,pyFR,,2,,No found EEG sync log
BW025,,pyFR,,3,,No found EEG sync log
FR090,,pyFR,,1,,No found EEG sync log
FR090,,pyFR,,2,,No found EEG sync log
CH003,,pyFR,,1,,No found EEG sync log
FR091,,pyFR,,0,,No found EEG sync log
CH005,,pyFR,,1,,No found EEG sync log
FR100,,pyFR,,1,,No found EEG sync log
CH008b,,pyFR,,1,,No found EEG sync log
CH008b,,pyFR,,2,,No found EEG sync log
CH008b,,pyFR,,3,,No found EEG sync log
FR110,,pyFR,,1,,No found EEG sync log
CH012,,pyFR,,1,,No found EEG sync log
CH012,,pyFR,,2,,No found EEG sync log
CH012,,pyFR,,3,,No found EEG sync log
FR120,,pyFR,,1,,No found EEG sync log
CH013,,pyFR,,1,,No found EEG sync log
FR130,,pyFR,,1,,No found EEG sync log
CH018,,pyFR,,1,,No found EEG sync log
CH018,,pyFR,,2,,No found EEG sync log
FR140,,pyFR,,1,,No found EEG sync log
FR140,,pyFR,,2,,No found EEG sync log
FR140,,pyFR,,3,,No found EEG sync log
FR140,,pyFR,,4,,No found EEG sync log
CH040,,pyFR,,1,,No found EEG sync log
FR150,,pyFR,,1,,No found EEG sync log
CH042,,pyFR,,1,,No found EEG sync log
CH042,,pyFR,,2,,No found EEG sync log
FR160,,pyFR,,1,,No found EEG sync log
CH046,,pyFR,,1,,No found EEG sync log
FR170,,pyFR,,1,,No found EEG sync log
CH048,,pyFR,,1,,No found EEG sync log
CH048,,pyFR,,2,,No found EEG sync log
CH048,,pyFR,,3,,No found EEG sync log
CH048,,pyFR,,4,,No found EEG sync log
FR180,,pyFR,,1,,No found EEG sync log
FR180,,pyFR,,2,,No found EEG sync log
CH058,,pyFR,,1,,No found EEG sync log
CH058,,pyFR,,2,,No found EEG sync log
FR190,,pyFR,,1,,No found EEG sync log
FR190,,pyFR,,2,,No found EEG sync log
FR190,,pyFR,,3,,No found EEG sync log
FR190,,pyFR,,4,,No found EEG sync log
CH061,,pyFR,,1,,No found EEG sync log
CH061,,pyFR,,2,,No found EEG sync log
CH061,,pyFR,,3,,No found EEG sync log
FR200,,pyFR,,0,,No found EEG sync log
FR200,,pyFR,,1,,No found EEG sync log
CH063,,pyFR,,1,,No found EEG sync log
CH063,,pyFR,,2,,No found EEG sync log
CH065,,pyFR,,1,,No found EEG sync log
CH065,,pyFR,,2,,No found EEG sync log
FR210,,pyFR,,0,,No found EEG sync log
CH066,,pyFR,,1,,No found EEG sync log
CH067,,pyFR,,1,,No found EEG sync log
CH067,,pyFR,,2,,No found EEG sync log
FR220,,pyFR,,0,,No found EEG sync log
CH068,,pyFR,,1,,No found EEG sync log
CH068,,pyFR,,2,,No found EEG sync log
CH068,,pyFR,,3,,No found EEG sync log
CH068,,pyFR,,4,,No found EEG sync log
FR032,,pyFR,,1,,No found EEG sync log
FR230,,pyFR,,0,,No found EEG sync log
FR037,,pyFR,,1,,No found EEG sync log
FR038,,pyFR,,1,,No found EEG sync log
FR050,,pyFR,,1,,No found EEG sync log
FR250,,pyFR,,0,,No found EEG sync log
FR250,,pyFR,,2,,No found EEG sync log
FR250,,pyFR,,3,,No found EEG sync log
FR250,,pyFR,,4,,No found EEG sync log
FR250,,pyFR,,5,,No found EEG sync log
FR260,,pyFR,,0,,No found EEG sync log
FR270,,pyFR,,0,,No found EEG sync log
FR270,,pyFR,,1,,No found EEG sync log
FR280,,pyFR,,0,,No found EEG sync log
FR290,,pyFR,,1,,No found EEG sync log
FZ001,,pyFR,,0,,No found EEG sync log
FZ002,,pyFR,,0,,No found EEG sync log
FZ003,,pyFR,,0,,No found EEG sync log
FZ004,,pyFR,,0,,No found EEG sync log
FZ005,,pyFR,,0,,No found EEG sync log
FZ006,,pyFR,,0,,No found EEG sync log
FZ007,,pyFR,,0,,No found EEG sync log
FZ008,,pyFR,,0,,No found EEG sync log
FZ009,,pyFR,,0,,No found EEG sync log
TJ001,,pyFR,,0,,No found EEG sync log
TJ001,,pyFR,,1,,No found EEG sync log
TJ001,,pyFR,,2,,No found EEG sync log
TJ003,,pyFR,,0,,No found EEG sync log
TJ003,,pyFR,,1,,No found EEG sync log
TJ003,,pyFR,,2,,No found EEG sync log
TJ003,,pyFR,,3,,No found EEG sync log
TJ004,,pyFR,,0,,No found EEG sync log
TJ005,,pyFR,,0,,No found EEG sync log
TJ005,,pyFR,,1,,No found EEG sync log
TJ005,,pyFR,,2,,No found EEG sync log
TJ005,,pyFR,,3,,No found EEG sync log
TJ005,,pyFR,,4,,No found EEG sync log
TJ005,,pyFR,,5,,No found EEG sync log
TJ005,,pyFR,,6,,No found EEG sync log
TJ005,,pyFR,,0,,No found EEG sync log
TJ005,,pyFR,,1,,No found EEG sync log
TJ005,,pyFR,,2,,No found EEG sync log
TJ006,,pyFR,,0,,No found EEG sync log
TJ010,,pyFR,,0,,No found EEG sync log
TJ011,,pyFR,,0,,No found EEG sync log
TJ013,,pyFR,,0,,No found EEG sync log
TJ013,,pyFR,,1,,No found EEG sync log
TJ013,,pyFR,,2,,No found EEG sync log
TJ013,,pyFR,,3,,No found EEG sync log
TJ015,,pyFR,,0,,No found EEG sync log
TJ015,,pyFR,,1,,No found EEG sync log
TJ015,,pyFR,,2,,No found EEG sync log
TJ016,,pyFR,,0,,No found EEG sync log
TJ016,,pyFR,,1,,No found EEG sync log
TJ016,,pyFR,,2,,No found EEG sync log
TJ017,,pyFR,,0,,No found EEG sync log
TJ017,,pyFR,,1,,No found EEG sync log
TJ018,,pyFR,,0,,No found EEG sync log
TJ018,,pyFR,,2,,No found EEG sync log
TJ018,,pyFR,,0,,No found EEG sync log
TJ019,,pyFR,,0,,No found EEG sync log
TJ019,,pyFR,,1,,No found EEG sync log
TJ020,,pyFR,,0,,No found EEG sync log
TJ020,,pyFR,,1,,No found EEG sync log
TJ020,,pyFR,,2,,No found EEG sync log
TJ020,,pyFR,,3,,No found EEG sync log
TJ021,,pyFR,,0,,No found EEG sync log
TJ022,,pyFR,,0,,No found EEG sync log
TJ022,,pyFR,,1,,No found EEG sync log
TJ022,,pyFR,,2,,No found EEG sync log
TJ024,,pyFR,,0,,No found EEG sync log
TJ024,,pyFR,,1,,No found EEG sync log
TJ024,,pyFR,,2,,No found EEG sync log
TJ024,,pyFR,,3,,No found EEG sync log
TJ025,,pyFR,,0,,No found EEG sync log
TJ025,,pyFR,,1,,No found EEG sync log
TJ025,,pyFR,,2,,No found EEG sync log
TJ025,,pyFR,,3,,No found EEG sync log
TJ027,,pyFR,,0,,No found EEG sync log
TJ027,,pyFR,,1,,No found EEG sync log
TJ027,,pyFR,,2,,No found EEG sync log
TJ027,,pyFR,,3,,No found EEG sync log
TJ028,,pyFR,,0,,No found EEG sync log
TJ028,,pyFR,,1,,No found EEG sync log
TJ029,,pyFR,,0,,No found EEG sync log
TJ029,,pyFR,,1,,No found EEG sync log
TJ029,,pyFR,,2,,No found EEG sync log
TJ030,,pyFR,,0,,No found EEG sync log
TJ030,,pyFR,,1,,No found EEG sync log
TJ030,,pyFR,,2,,No found EEG sync log
TJ030,,pyFR,,3,,No found EEG sync log
TJ031,,pyFR,,0,,No found EEG sync log
TJ031,,pyFR,,1,,No found EEG sync log
TJ031,,pyFR,,2,,No found EEG sync log
TJ031,,pyFR,,3,,No found EEG sync log
TJ032,,pyFR,,0,,No found EEG sync log
TJ032,,pyFR,,1,,No found EEG sync log
TJ032,,pyFR,,2,,No found EEG sync log
TJ032,,pyFR,,3,,No found EEG sync log
TJ033,,pyFR,,0,,No found EEG sync log
TJ033,,pyFR,,1,,No found EEG sync log
TJ034,,pyFR,,0,,No found EEG sync log
TJ034,,pyFR,,1,,No found EEG sync log
TJ035,,pyFR,,0,,No found EEG sync log
TJ035,,pyFR,,1,,No found EEG sync log
TJ036,,pyFR,,0,,No found EEG sync log
TJ036,,pyFR,,1,,No found EEG sync log
TJ037,,pyFR,,0,,No found EEG sync log
TJ037,,pyFR,,1,,No found EEG sync log
TJ037,,pyFR,,2,,No found EEG sync log
TJ038,,pyFR,,0,,No found EEG sync log
TJ038,,pyFR,,1,,No found EEG sync log
TJ038,,pyFR,,2,,No found EEG sync log
TJ038,,pyFR,,0,,No found EEG sync log
TJ038,,pyFR,,1,,No found EEG sync log
TJ039,,pyFR,,0,,No found EEG sync log
TJ039,,pyFR,,1,,No found EEG sync log
TJ039,,pyFR,,2,,No found EEG sync log
TJ039,,pyFR,,3,,No found EEG sync log
TJ039,,pyFR,,4,,No found EEG sync log
TJ039,,pyFR,,5,,No found EEG sync log
TJ039,,pyFR,,6,,No found EEG sync log
TJ039,,pyFR,,7,,No found EEG sync log
TJ040,,pyFR,,0,,No found EEG sync log
TJ040,,pyFR,,0,,No found EEG sync log
TJ041,,pyFR,,0,,No found EEG sync log
TJ041,,pyFR,,1,,No found EEG sync log
TJ041,,pyFR,,2,,No found EEG sync log
TJ041,,pyFR,,3,,No found EEG sync log
TJ041,,pyFR,,0,,No found EEG sync log
TJ041,,pyFR,,1,,No found EEG sync log
TJ041,,pyFR,,2,,No found EEG sync log
TJ041,,pyFR,,3,,No found EEG sync log
TJ041,,pyFR,,4,,No found EEG sync log
TJ042,,pyFR,,0,,No found EEG sync log
TJ042,,pyFR,,1,,No found EEG sync log
TJ042,,pyFR,,2,,No found EEG sync log
TJ043,,pyFR,,0,,No found EEG sync log
TJ043,,pyFR,,1,,No found EEG sync log
TJ043,,pyFR,,2,,No found EEG sync log
TJ044,,pyFR,,0,,No found EEG sync log
TJ044,,pyFR,,1,,No found EEG sync log
TJ045,,pyFR,,1,,No found EEG sync log
TJ045,,pyFR,,2,,No found EEG sync log
TJ047,,pyFR,,0,,No found EEG sync log
TJ047,,pyFR,,1,,No found EEG sync log
TJ047,,pyFR,,2,,No found EEG sync log
TJ048,,pyFR,,0,,No found EEG sync log
TJ048,,pyFR,,1,,No found EEG sync log
TJ048,,pyFR,,2,,No found EEG sync log
TJ049,,pyFR,,0,,No found EEG sync log
TJ049,,pyFR,,1,,No found EEG sync log
TJ050,,pyFR,,0,,No found EEG sync log
TJ050,,pyFR,,1,,No found EEG sync log
TJ050,,pyFR,,2,,No found EEG sync log
TJ051,,pyFR,,0,,No found EEG sync log
TJ051,,pyFR,,1,,No found EEG sync log
TJ051,,pyFR,,2,,No found EEG sync log
TJ051,,pyFR,,3,,No found EEG sync log
TJ051,,pyFR,,4,,No found EEG sync log
TJ052,,pyFR,,0,,No found EEG sync log
TJ053,,pyFR,,1,,No found EEG sync log
TJ053,,pyFR,,0,,No found EEG sync log
TJ054,,pyFR,,0,,No found EEG sync log
TJ054,,pyFR,,1,,No found EEG sync log
TJ054,,pyFR,,2,,No found EEG sync log
TJ055,,pyFR,,0,,No found EEG sync log
TJ056,,pyFR,,0,,No found EEG sync log
TJ057,,pyFR,,0,,No found EEG sync log
TJ057,,pyFR,,1,,No found EEG sync log
TJ057,,pyFR,,2,,No found EEG sync log
TJ058,,pyFR,,0,,No found EEG sync log
TJ059,,pyFR,,0,,No found EEG sync log
TJ060,,pyFR,,0,,No found EEG sync log
TJ060,,pyFR,,1,,No found EEG sync log
TJ060,,pyFR,,2,,No found EEG sync log
TJ061,,pyFR,,0,,No found EEG sync log
TJ062,,pyFR,,0,,No found EEG sync log
TJ062,,pyFR,,1,,No found EEG sync log
TJ064,,pyFR,,0,,No found EEG sync log
TJ064,,pyFR,,1,,No found EEG sync log
TJ064,,pyFR,,0,,No found EEG sync log
TJ065,,pyFR,,0,,No found EEG sync log
TJ065,,pyFR,,1,,No found EEG sync log
TJ066,,pyFR,,0,,No found EEG sync log
TJ066,,pyFR,,1,,No found EEG sync log
TJ068,,pyFR,,0,,No found EEG sync log
TJ068,,pyFR,,1,,No found EEG sync log
TJ069,,pyFR,,0,,No found EEG sync log
TJ069,,pyFR,,1,,No found EEG sync log
TJ069,,pyFR,,0,,No found EEG sync log
TJ069,,pyFR,,1,,No found EEG sync log
TJ071,,pyFR,,0,,No found EEG sync log
TJ072,,pyFR,,0,,No found EEG sync log
TJ073,,pyFR,,0,,No found EEG sync log
TJ073,,pyFR,,1,,No found EEG sync log
TJ073,,pyFR,,2,,No found EEG sync log
TJ074,,pyFR,,0,,No found EEG sync log
TJ074,,pyFR,,1,,No found EEG sync log
TJ074,,pyFR,,2,,No found EEG sync log
TJ075,,pyFR,,0,,No found EEG sync log
TJ075,,pyFR,,1,,No found EEG sync log
TJ075,,pyFR,,2,,No found EEG sync log
TJ077,,pyFR,,0,,No found EEG sync log
TJ077,,pyFR,,1,,No found EEG sync log
TJ078,,pyFR,,0,,No found EEG sync log
TJ078,,pyFR,,0,,No found EEG sync log
TJ079,,pyFR,,0,,No found EEG sync log
TJ079,,pyFR,,1,,No found EEG sync log
TJ079,,pyFR,,2,,No found EEG sync log
TJ079,,pyFR,,3,,No found EEG sync log
TJ079,,pyFR,,4,,No found EEG sync log
TJ080,,pyFR,,0,,No found EEG sync log
TJ080,,pyFR,,1,,No found EEG sync log
TJ081,,pyFR,,0,,No found EEG sync log
UP001,,pyFR,,0,,No found EEG sync log
UP001,,pyFR,,1,,No found EEG sync log
UP001,,pyFR,,2,,No found EEG sync log
UP001,,pyFR,,3,,No found EEG sync log
UP002,,pyFR,,0,,No found EEG sync log
UP002,,pyFR,,1,,No found EEG sync log
UP003,,pyFR,,1,,No found EEG sync log
UP003,,pyFR,,2,,No found EEG sync log
UP003,,pyFR,,3,,No found EEG sync log
UP004,,pyFR,,0,,No found EEG sync log
UP004,,pyFR,,1,,No found EEG sync log
UP004,,pyFR,,2,,No found EEG sync log
UP004,,pyFR,,3,,No found EEG sync log
UP005,,pyFR,,0,,No found EEG sync log
UP005,,pyFR,,1,,No found EEG sync log
UP005,,pyFR,,2,,No found EEG sync log
UP005,,pyFR,,3,,No found EEG sync log
UP006,,pyFR,,0,,No found EEG sync log
UP006,,pyFR,,1,,No found EEG sync log
UP006,,pyFR,,2,,No found EEG sync log
UP007,,pyFR,,1,,No found EEG sync log
UP007,,pyFR,,2,,No found EEG sync log
UP008,,pyFR,,0,,No found EEG sync log
UP008,,pyFR,,1,,No found EEG sync log
UP011,,pyFR,,0,,No found EEG sync log
UP011,,pyFR,,1,,No found EEG sync log
UP011,,pyFR,,2,,No found EEG sync log
UP016,,pyFR,,0,,No found EEG sync log
UP017,,pyFR,,0,,No found EEG sync log
UP017,,pyFR,,1,,No found EEG sync log
UP017,,pyFR,,2,,No found EEG sync log
UP017,,pyFR,,3,,No found EEG sync log
UP019,,pyFR,,0,,No found EEG sync log
UP019,,pyFR,,1,,No found EEG sync log
UP020,,pyFR,,0,,No found EEG sync log
UP020,,pyFR,,1,,No found EEG sync log
UP020,,pyFR,,2,,No found EEG sync log
UP021,,pyFR,,0,,No found EEG sync log
UP021,,pyFR,,1,,No found EEG sync log
UP021,,pyFR,,2,,No found EEG sync log
UP022,,pyFR,,0,,No found EEG sync log
UP022,,pyFR,,1,,No found EEG sync log
UP024,,pyFR,,0,,No found EEG sync log
UP024,,pyFR,,1,,No found EEG sync log
UP024,,pyFR,,2,,No found EEG sync log
UP028,,pyFR,,0,,No found EEG sync log
UP029,,pyFR,,0,,No found EEG sync log
UP034,,pyFR,,0,,No found EEG sync log
UP034,,pyFR,,1,,No found EEG sync log
UP036,,pyFR,,0,,No found EEG sync log
UP037,,pyFR,,0,,No found EEG sync log
UP037,,pyFR,,1,,No found EEG sync log
UP037,,pyFR,,2,,No found EEG sync log
UP038,,pyFR,,0,,No found EEG sync log
UP040,,pyFR,,0,,No found EEG sync log
UP040,,pyFR,,1,,No found EEG sync log
UP040,,pyFR,,2,,No found EEG sync log
UP040,,pyFR,,3,,No found EEG sync log
UP041,,pyFR,,0,,No found EEG sync log
UP041,,pyFR,,1,,No found EEG sync log
UP041,,pyFR,,2,,No found EEG sync log
UP042,,pyFR,,0,,No found EEG sync log
UP043,,pyFR,,0,,No found EEG sync log
UP043,,pyFR,,1,,No found EEG sync log
UP044,,pyFR,,0,,No found EEG sync log
UP044,,pyFR,,1,,No found EEG sync log
UP044,,pyFR,,0,,No found EEG sync log
UP044,,pyFR,,1,,No found EEG sync log
UP044,,pyFR,,2,,No found EEG sync log
R1001P,R1001P,YC1,,0,0.0,No found EEG sync log
R1001P,R1001P,YC1,,1,1.0,No found EEG sync log
R1015J,R1015J,YC1,,1,1.0,No found EEG sync log
R1020J,R1020J,FR1,,0,0.0,No found EEG sync log
R1020J,R1020J,FR2,,0,0.0,No found EEG sync log
R1020J,R1020J,FR2,,1,1.0,No found EEG sync log
R1020J,R1020J,FR2,,2,2.0,No found EEG sync log
R1020J,R1020J,FR2,,3,3.0,No found EEG sync log
R1020J,R1020J,YC2,,0,0.0,No found EEG sync log
R1020J,R1020J,YC2,,1,1.0,No found EEG sync log
R1021D,R1021D,YC1,,1,1.0,No found EEG sync log
R1024E,R1024E_2,YC2,,3,1.0,No found EEG sync log
R1044J,R1044J,catFR1,CatFR1,0,,No found EEG sync log
R1047D,R1047D,YC1,,1,1.0,No found EEG sync log
R1059J,R1059J_2,PS1,PS,3,6.0,No found EEG sync log
R1059J,R1059J_2,PS2,PS,3,8.0,No found EEG sync log
R1059J,R1059J_2,PS3,PS,3,7.0,No found EEG sync log
R1060M,R1060M,YC1,,1,2.0,No found EEG sync log
R1061T,R1061T,PS1,PS,0,1.0,No found EEG sync log
R1067P,R1067P,YC1,,0,0.0,No found EEG sync log
R1074M,R1074M,YC1,,0,0.0,No found EEG sync log
R1074M,R1074M,YC2,,0,0.0,No found EEG sync log
R1079E,R1079E,YC1,,0,0.0,No found EEG sync log
R1121M,R1121M,FR1,,3,3.0,No found EEG sync log
R1121M,R1121M,FR1,,4,4.0,No found EEG sync log
R1121M,R1121M,FR1,,5,5.0,No found EEG sync log
R1121M,R1121M,FR1,,6,6.0,No found EEG sync log
R1121M,R1121M,FR1,,7,7.0,No found EEG sync log
R1121M,R1121M,PAL1,,2,2.0,No found EEG sync log
R1121M,R1121M,PAL1,,3,3.0,No found EEG sync log
R1175N,R1175N,PAL3,,0,0.0,No found EEG sync log
R1175N,R1175N,PS2.1,PS21,0,,No found EEG sync log
R1196N,R1196N,PAL1,,0,2.0,No found EEG sync log
R1196N,R1196N,PAL1,,1,3.0,No found EEG sync log
R1219C,R1219C,TH1,,2,,No found EEG sync log
R1284N,R1284N,PAL3,,2,,No found EEG sync log
R1284N,R1284N,PS2.1,PS21,0,,No found EEG sync log
R1289C,R1289C,TH1,,3,,No found EEG sync log
R1289C,R1289C,TH1,,5,,No found EEG sync log
R1523E,R1523E,DBOY1,,0,,No found EEG sync log
