Recognition,all_events,contacts,experiment,import_type,localization,math_events,montage,original_experiment,original_session,pairs,ps4_events,session,subject,subject_alias,system_version,task_events
,protocols/r1/subjects/R1002P/experiments/FR1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1002P/experiments/FR1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/FR1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/FR2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1002P/experiments/FR2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/FR2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/FR2/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1002P/experiments/FR2/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/FR2/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/FR2/sessions/2/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1002P/experiments/FR2/sessions/2/behavioral/current_processed/math_events.json,0,,2,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,2,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/FR2/sessions/2/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/2/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/2/behavioral/current_processed/math_events.json,0,,2,protocols/r1/subjects/R1002P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,2,R1002P,R1002P,,protocols/r1/subjects/R1002P/experiments/PAL1/sessions/2/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1003P/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1003P,R1003P,1.0,protocols/r1/subjects/R1003P/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/FR1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1003P/experiments/FR1/sessions/1/behavioral/current_processed/math_events.json,0,,,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1003P,R1003P,1.0,protocols/r1/subjects/R1003P/experiments/FR1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/FR2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1003P/experiments/FR2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1003P,R1003P,,protocols/r1/subjects/R1003P/experiments/FR2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1003P,R1003P,,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1003P,R1003P,,protocols/r1/subjects/R1003P/experiments/PAL1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL2,build,0,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1003P,R1003P,,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL2,build,0,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1003P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1003P,R1003P,,protocols/r1/subjects/R1003P/experiments/PAL2/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1004D/experiments/catFR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1004D/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,catFR1,build,0,protocols/r1/subjects/R1004D/experiments/catFR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1004D/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1004D,R1004D,,protocols/r1/subjects/R1004D/experiments/catFR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1006P/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1006P/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1006P/experiments/FR1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1006P/experiments/FR1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/FR1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1006P/experiments/FR2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1006P/experiments/FR2/sessions/0/behavioral/current_processed/math_events.json,1,,0,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,0,R1006P,R1006P_1,,protocols/r1/subjects/R1006P/experiments/FR2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1006P/experiments/FR2/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1006P/experiments/FR2/sessions/1/behavioral/current_processed/math_events.json,1,,1,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,1,R1006P,R1006P_1,,protocols/r1/subjects/R1006P/experiments/FR2/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,1,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,2,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,2,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/YC1/sessions/2/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,0,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/YC2/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,1,protocols/r1/subjects/R1006P/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1006P,R1006P,,protocols/r1/subjects/R1006P/experiments/YC2/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,1,,0,protocols/r1/subjects/R1006P/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,2,R1006P,R1006P_1,,protocols/r1/subjects/R1006P/experiments/YC2/sessions/2/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1008J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1008J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1008J,R1008J,,protocols/r1/subjects/R1008J/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1009W/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1009W/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1009W,R1009W,,protocols/r1/subjects/R1009W/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1010J/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1010J/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1010J,R1010J,,protocols/r1/subjects/R1010J/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1010J/experiments/FR1/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1010J/experiments/FR1/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1010J,R1010J,,protocols/r1/subjects/R1010J/experiments/FR1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1010J,R1010J,,protocols/r1/subjects/R1010J/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,1,protocols/r1/subjects/R1010J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1010J,R1010J,,protocols/r1/subjects/R1010J/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1013E/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1013E/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1013E,R1013E,,protocols/r1/subjects/R1013E/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,1,,0,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,1,R1013E,R1013E_1,,protocols/r1/subjects/R1013E/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,1,,0,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,0,R1013E,R1013E_1,,protocols/r1/subjects/R1013E/experiments/YC2/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,1,,1,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,1,R1013E,R1013E_1,,protocols/r1/subjects/R1013E/experiments/YC2/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1013E/experiments/catFR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/contacts.json,catFR1,build,0,protocols/r1/subjects/R1013E/experiments/catFR1/sessions/0/behavioral/current_processed/math_events.json,1,,0,protocols/r1/subjects/R1013E/localizations/0/montages/1/neuroradiology/current_processed/pairs.json,,0,R1013E,R1013E_1,,protocols/r1/subjects/R1013E/experiments/catFR1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1014D/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1014D/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1014D,R1014D,,protocols/r1/subjects/R1014D/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1014D/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,1,protocols/r1/subjects/R1014D/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1014D,R1014D,,protocols/r1/subjects/R1014D/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1015J/experiments/FR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR1,build,0,protocols/r1/subjects/R1015J/experiments/FR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/FR1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,0,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC1/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC1,conversion,0,,0,,1,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC1/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,0,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/0/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,1,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/1/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,2,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,2,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/2/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,3,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,3,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/3/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,4,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,4,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/4/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,5,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,5,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/5/behavioral/current_processed/task_events.json
,,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,YC2,conversion,0,,0,,6,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,6,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/YC2/sessions/6/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1015J/experiments/catFR1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,catFR1,build,0,protocols/r1/subjects/R1015J/experiments/catFR1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1015J/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1015J,R1015J,,protocols/r1/subjects/R1015J/experiments/catFR1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1016M/experiments/FR2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,FR2,build,0,protocols/r1/subjects/R1016M/experiments/FR2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1016M,R1016M,,protocols/r1/subjects/R1016M/experiments/FR2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1016M/experiments/PAL1/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL1,build,0,protocols/r1/subjects/R1016M/experiments/PAL1/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1016M,R1016M,,protocols/r1/subjects/R1016M/experiments/PAL1/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/0/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL2,build,0,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/0/behavioral/current_processed/math_events.json,0,,0,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,0,R1016M,R1016M,,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/0/behavioral/current_processed/task_events.json
,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/1/behavioral/current_processed/all_events.json,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/contacts.json,PAL2,build,0,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/1/behavioral/current_processed/math_events.json,0,,1,protocols/r1/subjects/R1016M/localizations/0/montages/0/neuroradiology/current_processed/pairs.json,,1,R1016M,R1016M,,protocols/r1/subjects/R1016M/experiments/PAL2/sessions/1/behavioral/current_processed/task_events.json
